ID|Priority|Details|Status|Deadline|Completed|Project
86077|8|velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum placerat,|pending|20201128|20201127|Jeongeup
20595|4|vitae semper egestas, urna justo faucibus lectus, a sollicitudin orci|pending|20210226|20210225|Cherepovets
69677|10|ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna.|canceled|20210226|20210225|Santa Rita
55602|2|Donec luctus aliquet odio. Etiam ligula tortor, dictum eu, placerat|done|20210102|20210101|Dedovsk
37046|9|ornare, lectus ante dictum mi, ac mattis velit justo nec|canceled|20210119|20210118|Porretta Terme
2325|9|mi, ac mattis velit justo nec ante. Maecenas mi felis,|done|20190708|20190707|Trollhättan
87799|5|vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy|done|20200203|20200202|Chhindwara
54070|2|egestas ligula. Nullam feugiat placerat velit. Quisque varius. Nam porttitor|done|20201216|20201215|Yorkton
29905|7|risus. Quisque libero lacus, varius et, euismod et, commodo at,|new|20201121|20201120|Bozeman
20662|5|Mauris nulla. Integer urna. Vivamus molestie dapibus ligula. Aliquam erat|done|20200515|20200514|Dibrugarh
87920|1|tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel,|canceled|20200315|20200314|Chillán
59206|8|"Curae| Donec tincidunt. Donec vitae erat vel pede blandit congue."|pending|20200707|20200706|Geer
7891|5|ac metus vitae velit egestas lacinia. Sed congue, elit sed|done|20200923|20200922|Ramagundam
57474|3|amet, consectetuer adipiscing elit. Aliquam auctor, velit eget laoreet posuere,|new|20191114|20191113|Penticton
6040|1|id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend|new|20200626|20200625|Paularo
76389|10|quis arcu vel quam dignissim pharetra. Nam ac nulla. In|done|20190930|20190929|Oudekapelle
89341|2|consequat, lectus sit amet luctus vulputate, nisi sem semper erat,|done|20200718|20200717|Penhold
14042|8|ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et|new|20210426|20210425|Montemesola
75460|4|sodales nisi magna sed dui. Fusce aliquam, enim nec tempus|pending|20200729|20200728|Rochester
65989|8|porttitor interdum. Sed auctor odio a purus. Duis elementum, dui|new|20201128|20201127|Jeongeup
47308|10|massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices|pending|20210226|20210225|Cherepovets
65970|5|dolor. Donec fringilla. Donec feugiat metus sit amet ante. Vivamus|canceled|20210226|20210225|Santa Rita
98407|10|vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt|new|20210102|20210101|Dedovsk
53199|3|vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac|pending|20210119|20210118|Porretta Terme
26797|8|arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus.|pending|20190708|20190707|Trollhättan
36868|3|luctus vulputate, nisi sem semper erat, in consectetuer ipsum nunc|done|20200203|20200202|Chhindwara
84674|7|eu, placerat eget, venenatis a, magna. Lorem ipsum dolor sit|pending|20201216|20201215|Yorkton
31941|3|dictum augue malesuada malesuada. Integer id magna et ipsum cursus|new|20201121|20201120|Bozeman
40566|7|id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend|done|20200515|20200514|Dibrugarh
71318|9|consectetuer adipiscing elit. Aliquam auctor, velit eget laoreet posuere, enim|done|20200315|20200314|Chillán
74397|6|sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy|new|20200707|20200706|Geer
15457|4|et tristique pellentesque, tellus sem mollis dui, in sodales elit|new|20200923|20200922|Ramagundam
70215|10|Cum sociis natoque penatibus et magnis dis parturient montes, nascetur|new|20191114|20191113|Penticton
97659|10|non, egestas a, dui. Cras pellentesque. Sed dictum. Proin eget|done|20200626|20200625|Paularo
49851|6|sem eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula|new|20190930|20190929|Oudekapelle
20633|1|pede, nonummy ut, molestie in, tempus eu, ligula. Aenean euismod|done|20200718|20200717|Penhold
24253|4|velit egestas lacinia. Sed congue, elit sed consequat auctor, nunc|done|20210426|20210425|Montemesola
12468|1|porttitor interdum. Sed auctor odio a purus. Duis elementum, dui|new|20200729|20200728|Rochester
2924|2|scelerisque sed, sapien. Nunc pulvinar arcu et pede. Nunc sed|pending|20201128|20201127|Jeongeup
79055|5|dui augue eu tellus. Phasellus elit pede, malesuada vel, venenatis|new|20210226|20210225|Cherepovets
43503|5|lectus justo eu arcu. Morbi sit amet massa. Quisque porttitor|done|20210226|20210225|Santa Rita
56262|3|Donec porttitor tellus non magna. Nam ligula elit, pretium et,|done|20210102|20210101|Dedovsk
56376|9|risus. Nulla eget metus eu erat semper rutrum. Fusce dolor|done|20210119|20210118|Porretta Terme
70254|4|enim. Etiam imperdiet dictum magna. Ut tincidunt orci quis lectus.|done|20190708|20190707|Trollhättan
93785|2|lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies|pending|20200203|20200202|Chhindwara
20517|1|neque sed sem egestas blandit. Nam nulla magna, malesuada vel,|new|20201216|20201215|Yorkton
57281|9|netus et malesuada fames ac turpis egestas. Fusce aliquet magna|canceled|20201121|20201120|Bozeman
26347|4|purus, in molestie tortor nibh sit amet orci. Ut sagittis|canceled|20200515|20200514|Dibrugarh
82250|9|Duis dignissim tempor arcu. Vestibulum ut eros non enim commodo|new|20200315|20200314|Chillán
13693|1|ut cursus luctus, ipsum leo elementum sem, vitae aliquam eros|canceled|20200707|20200706|Geer
46333|7|gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat.|new|20200923|20200922|Ramagundam
42928|2|ultrices iaculis odio. Nam interdum enim non nisi. Aenean eget|canceled|20191114|20191113|Penticton
5357|3|dictum sapien. Aenean massa. Integer vitae nibh. Donec est mauris,|done|20200626|20200625|Paularo
58548|7|semper egestas, urna justo faucibus lectus, a sollicitudin orci sem|canceled|20190930|20190929|Oudekapelle
55345|7|Duis elementum, dui quis accumsan convallis, ante lectus convallis est,|pending|20200718|20200717|Penhold
53803|6|Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio.|done|20210426|20210425|Montemesola
5562|6|aliquam eros turpis non enim. Mauris quis turpis vitae purus|done|20200729|20200728|Rochester
65775|5|erat, eget tincidunt dui augue eu tellus. Phasellus elit pede,|new|20201128|20201127|Jeongeup
23176|7|Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum mi,|new|20210226|20210225|Cherepovets
89499|8|at pretium aliquet, metus urna convallis erat, eget tincidunt dui|done|20210226|20210225|Santa Rita
58138|9|nulla. Cras eu tellus eu augue porttitor interdum. Sed auctor|new|20210102|20210101|Dedovsk
12426|9|ante blandit viverra. Donec tempus, lorem fringilla ornare placerat, orci|done|20210119|20210118|Porretta Terme
28319|2|imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus, at|canceled|20190708|20190707|Trollhättan
65794|4|Curabitur ut odio vel est tempor bibendum. Donec felis orci,|done|20200203|20200202|Chhindwara
74826|7|Duis a mi fringilla mi lacinia mattis. Integer eu lacus.|new|20201216|20201215|Yorkton
94250|8|a neque. Nullam ut nisi a odio semper cursus. Integer|pendingID|20201121|20201120|Bozeman
40350|10|Aliquam rutrum lorem ac risus. Morbi metus. Vivamus euismod urna.|new|20200515|20200514|Dibrugarh
19291|6|magna. Sed eu eros. Nam consequat dolor vitae dolor. Donec|canceled|20200315|20200314|Chillán
93706|5|parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique|canceled|20200707|20200706|Geer
55068|6|In mi pede, nonummy ut, molestie in, tempus eu, ligula.|canceled|20200923|20200922|Ramagundam
93829|2|Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet|pending|20191114|20191113|Penticton
96630|9|nunc id enim. Curabitur massa. Vestibulum accumsan neque et nunc.|new|20200626|20200625|Paularo
53741|8|est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada|pending|20190930|20190929|Oudekapelle
35276|8|Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus|pending|20200718|20200717|Penhold
2037|3|molestie. Sed id risus quis diam luctus lobortis. Class aptent|pending|20210426|20210425|Montemesola
99817|4|Sed eu eros. Nam consequat dolor vitae dolor. Donec fringilla.|pending|20200729|20200728|Rochester
81918|1|pulvinar arcu et pede. Nunc sed orci lobortis augue scelerisque|done|20201128|20201127|Jeongeup
67207|7|pede sagittis augue, eu tempor erat neque non quam. Pellentesque|pending|20210226|20210225|Cherepovets
59715|5|iaculis aliquet diam. Sed diam lorem, auctor quis, tristique ac,|canceled|20210226|20210225|Santa Rita
61492|1|amet lorem semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis|done|20210102|20210101|Dedovsk
23911|5|sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor|pending|20210119|20210118|Porretta Terme
4089|3|vel lectus. Cum sociis natoque penatibus et magnis dis parturient|new|20190708|20190707|Trollhättan
72810|8|Mauris quis turpis vitae purus gravida sagittis. Duis gravida. Praesent|done|20200203|20200202|Chhindwara
4026|1|mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy|canceled|20201216|20201215|Yorkton
68298|8|"primis in faucibus orci luctus et ultrices posuere cubilia Curae|"|done|20201121|20201120|Bozeman
60753|4|senectus et netus et malesuada fames ac turpis egestas. Aliquam|done|20200515|20200514|Dibrugarh
12312|7|sem ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis|done|20200315|20200314|Chillán
73524|10|Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed|new|20200707|20200706|Geer
47729|1|Nam nulla magna, malesuada vel, convallis in, cursus et, eros.|done|20200923|20200922|Ramagundam
41793|2|lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum|new|20191114|20191113|Penticton
11547|1|non, hendrerit id, ante. Nunc mauris sapien, cursus in, hendrerit|new|20200626|20200625|Paularo
67779|8|semper tellus id nunc interdum feugiat. Sed nec metus facilisis|pending|20190930|20190929|Oudekapelle
20542|3|rhoncus. Proin nisl sem, consequat nec, mollis vitae, posuere at,|canceled|20200718|20200717|Penhold
77569|7|sodales nisi magna sed dui. Fusce aliquam, enim nec tempus|done|20210426|20210425|Montemesola
31135|3|arcu. Aliquam ultrices iaculis odio. Nam interdum enim non nisi.|canceled|20200729|20200728|Rochester
7949|2|eu dui. Cum sociis natoque penatibus et magnis dis parturient|pending|20201128|20201127|Jeongeup
78356|8|ante ipsum primis in faucibus orci luctus et ultrices posuere|new|20210226|20210225|Cherepovets
56626|7|Etiam laoreet, libero et tristique pellentesque, tellus sem mollis dui,|new|20210226|20210225|Santa Rita
23914|4|semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim|new|20210102|20210101|Dedovsk
2547|3|nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus|canceled|20210119|20210118|Porretta Terme
47129|6|rutrum urna, nec luctus felis purus ac tellus. Suspendisse sed|pending|20190708|20190707|Trollhättan
68169|8|Quisque ornare tortor at risus. Nunc ac sem ut dolor|canceled|20200203|20200202|Chhindwara
26254|8|faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor|canceled|20201216|20201215|Yorkton
52444|1|tempor, est ac mattis semper, dui lectus rutrum urna, nec|canceled|20201121|20201120|Bozeman
8508|4|augue porttitor interdum. Sed auctor odio a purus. Duis elementum,|pending|20200515|20200514|Dibrugarh
4018|7|mauris elit, dictum eu, eleifend nec, malesuada ut, sem. Nulla|new|20200315|20200314|Chillán
54378|7|diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est|pending|20200707|20200706|Geer
93408|3|lectus rutrum urna, nec luctus felis purus ac tellus. Suspendisse|new|20200923|20200922|Ramagundam
39327|7|nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam|new|20191114|20191113|Penticton
65717|9|metus. In nec orci. Donec nibh. Quisque nonummy ipsum non|done|20200626|20200625|Paularo
81605|6|blandit. Nam nulla magna, malesuada vel, convallis in, cursus et,|done|20190930|20190929|Oudekapelle
61999|1|sed turpis nec mauris blandit mattis. Cras eget nisi dictum|done|20200718|20200717|Penhold
86332|9|lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed|pending|20210426|20210425|Montemesola
34975|8|vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque|canceled|20200729|20200728|Rochester
97189|2|lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus faucibus|new|20201128|20201127|Jeongeup
40528|6|et tristique pellentesque, tellus sem mollis dui, in sodales elit|new|20210226|20210225|Cherepovets
38533|9|tempus, lorem fringilla ornare placerat, orci lacus vestibulum lorem, sit|pending|20210226|20210225|Santa Rita
56310|5|erat, in consectetuer ipsum nunc id enim. Curabitur massa. Vestibulum|canceled|20210102|20210101|Dedovsk
79758|9|augue porttitor interdum. Sed auctor odio a purus. Duis elementum,|pending|20210119|20210118|Porretta Terme
83465|10|Maecenas iaculis aliquet diam. Sed diam lorem, auctor quis, tristique|canceled|20190708|20190707|Trollhättan
51432|6|elit, pharetra ut, pharetra sed, hendrerit a, arcu. Sed et|canceled|20200203|20200202|Chhindwara
89801|10|leo, in lobortis tellus justo sit amet nulla. Donec non|pending|20201216|20201215|Yorkton
83871|4|at, iaculis quis, pede. Praesent eu dui. Cum sociis natoque|pending|20201121|20201120|Bozeman
22920|7|cursus in, hendrerit consectetuer, cursus et, magna. Praesent interdum ligula|new|20200515|20200514|Dibrugarh
70257|3|facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc|done|20200315|20200314|Chillán
28631|6|dui lectus rutrum urna, nec luctus felis purus ac tellus.|done|20200707|20200706|Geer
24428|4|non dui nec urna suscipit nonummy. Fusce fermentum fermentum arcu.|done|20200923|20200922|Ramagundam
45733|10|Aenean sed pede nec ante blandit viverra. Donec tempus, lorem|pending|20191114|20191113|Penticton
91120|5|amet, risus. Donec nibh enim, gravida sit amet, dapibus id,|canceled|20200626|20200625|Paularo
10493|7|auctor non, feugiat nec, diam. Duis mi enim, condimentum eget,|pending|20190930|20190929|Oudekapelle
69212|5|montes, nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc|canceled|20200718|20200717|Penhold
87955|7|lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse non leo.|new|20210426|20210425|Montemesola
5440|2|nec, imperdiet nec, leo. Morbi neque tellus, imperdiet non, vestibulum|pending|20200729|20200728|Rochester
15430|8|"posuere cubilia Curae| Phasellus ornare. Fusce mollis. Duis sit amet"|new|20201128|20201127|Jeongeup
77935|1|Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis|canceled|20210226|20210225|Cherepovets
72699|7|vulputate eu, odio. Phasellus at augue id ante dictum cursus.|new|20210226|20210225|Santa Rita
26957|10|aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam|new|20210102|20210101|Dedovsk
33879|4|dui nec urna suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum|done|20210119|20210118|Porretta Terme
90788|1|Nam nulla magna, malesuada vel, convallis in, cursus et, eros.|pending|20190708|20190707|Trollhättan
36721|3|enim diam vel arcu. Curabitur ut odio vel est tempor|canceled|20200203|20200202|Chhindwara
9982|9|ipsum. Phasellus vitae mauris sit amet lorem semper auctor. Mauris|new|20201216|20201215|Yorkton
9744|8|Sed molestie. Sed id risus quis diam luctus lobortis. Class|done|20201121|20201120|Bozeman
48965|4|velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque|done|20200515|20200514|Dibrugarh
30324|8|neque sed sem egestas blandit. Nam nulla magna, malesuada vel,|pending|20200315|20200314|Chillán
79301|2|dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus|pending|20200707|20200706|Geer
11430|9|pretium et, rutrum non, hendrerit id, ante. Nunc mauris sapien,|new|20200923|20200922|Ramagundam
16514|10|inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In|pending|20191114|20191113|Penticton
95009|3|ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque.|pending|20200626|20200625|Paularo
73590|10|auctor, velit eget laoreet posuere, enim nisl elementum purus, accumsan|pending|20190930|20190929|Oudekapelle
96068|10|Nulla dignissim. Maecenas ornare egestas ligula. Nullam feugiat placerat velit.|done|20200718|20200717|Penhold
93758|8|enim, sit amet ornare lectus justo eu arcu. Morbi sit|canceled|20210426|20210425|Montemesola
93855|7|tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer|canceled|20200729|20200728|Rochester
99973|3|sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et|new|20201128|20201127|Jeongeup
17583|3|odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam|done|20210226|20210225|Cherepovets
30133|8|mollis lectus pede et risus. Quisque libero lacus, varius et,|new|20210226|20210225|Santa Rita
77306|9|posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget,|pending|20210102|20210101|Dedovsk
72592|2|vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum|canceled|20210119|20210118|Porretta Terme
37151|4|Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a|canceled|20190708|20190707|Trollhättan
99221|9|Mauris nulla. Integer urna. Vivamus molestie dapibus ligula. Aliquam erat|done|20200203|20200202|Chhindwara
26943|10|Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper|new|20201216|20201215|Yorkton
64677|8|at, velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum|canceled|20201121|20201120|Bozeman
75264|7|amet, consectetuer adipiscing elit. Aliquam auctor, velit eget laoreet posuere,|done|20200515|20200514|Dibrugarh
47970|7|ut mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet|pending|20200315|20200314|Chillán
67647|7|imperdiet nec, leo. Morbi neque tellus, imperdiet non, vestibulum nec,|pending|20200707|20200706|Geer
96393|4|Sed diam lorem, auctor quis, tristique ac, eleifend vitae, erat.|pending|20200923|20200922|Ramagundam
30660|1|ut lacus. Nulla tincidunt, neque vitae semper egestas, urna justo|pending|20191114|20191113|Penticton
